year,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,p160,p161,p162,p163,p164,p165,p166,p167,p168,p169,p170,p171,p172,p173,p174,p175,p176,p177,p178,p179,p180,p181,p182,p183,p184,p185,p186,p187,p188,p189,p190,p191,p192,p193,p194,p195,p196,p197,p198,p199,p200,p201,p202,p203,p204,p205,p206,p207,p208,p209,p210,p211,p212,p213,p214,p215,p216,p217,p218,p219,p220,p221,p222,p223,p224,p225,p226,p227,p228,p229,p230,p231,p232,p233,p234,p235,p236,p237,p238,p239,p240,p241,p242,p243,p244,p245,p246,p247,p248,p249,p250,p251,p252,p253,p254,p255,p256,p257,p258,p259,p260,p261,p262,p263,p264,p265,p266,p267,p268,p269,p270,p271,p272,p273,p274,p275,p276,p277,p278,p279,p280,p281,p282,p283,p284,p285,p286,p287,p288,p289,p290,p291,p292,p293,p294,p295,p296,p297,p298,p299,p300,p301,p302,p303,p304,p305,p306,p307,p308,p309,p310,p311,p312,p313,p314,p315,p316,p317,p318,p319,p320,p321,p322,p323,p324,p325,p326,p327,p328,p329,p330,p331,p332,p333,p334,p335,p336,p337,p338,p339,p340,p341,p342,p343,p344,p345,p346,p347,p348,p349,p350,p351,p352,p353,p354,p355,p356,p357,p358,p359,p360,p361,p362,p363,p364,p365,p366,p367,p368,p369,p370
1948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1949,11.345,8.0615,5.6219,4.6874,3.9647,3.5694,3.2608,2.8769,2.6868,2.0561,-0.10094,11.51,8.6069,6.0571,4.8621,4.2517,4.0636,3.5613,2.8737,2.6427,2.1321,0.22408,11.552,9.0051,6.5961,5.0952,4.3221,4.2234,3.9465,3.074,2.6996,2.2173,0.56516,11.743,9.3948,7.0898,5.3776,4.3293,4.1273,4.0586,3.4,2.9141,2.5217,0.97477,-0.41515,11.865,9.5043,7.3642,5.7529,4.4317,3.9595,4.0283,3.5821,3.1685,2.7684,1.4804,0.25686,11.887,9.4731,7.5403,6.1143,4.6804,3.9768,3.936,3.6238,3.2706,2.8397,1.818,0.35577,-7.8321,11.991,9.6178,7.6095,6.2078,4.8475,4.1336,3.9508,3.5669,3.2481,2.7877,1.9252,0.83058,-5.3149,12.217,9.99,7.7511,6.13,4.9888,4.4124,4.0484,3.5289,3.1853,2.6909,1.8497,0.88014,-5.3227,12.296,10.191,7.9239,6.1387,5.0225,4.5779,4.2082,3.6107,3.2185,2.5914,1.605,0.58213,-5.6098,12.201,10.074,8.1173,6.368,5.2189,4.6989,4.2925,3.7689,3.4144,2.4933,1.037,-3.4768,-6.0745,12.177,10.156,8.3875,6.7186,5.4284,4.7134,4.2729,3.9347,3.4996,2.3655,0.62613,-4.3181,-8.2213,12.253,10.321,8.6813,7.0094,5.6127,4.72,4.3131,3.9415,3.4378,2.271,0.4531,-4.648,-6.4982,12.468,10.621,8.8437,7.0989,5.8551,4.9714,4.3002,3.8575,3.2971,2.1618,0.586,-4.7287,-9.0957,12.623,10.83,8.8643,7.0791,6.0385,5.2412,4.4211,3.8394,3.1286,1.9167,0.052027,-9.5816,12.752,10.973,8.9745,7.2757,6.2664,5.4202,4.5901,4.0111,3.18,1.752,0.10938,-9.9545,12.858,11.073,9.1564,7.5695,6.4192,5.2895,4.5956,4.2668,3.3324,2.0718,12.986,11.152,9.3902,7.9134,6.4144,5.0218,4.5861,4.5743,3.6399,1.8509,13.146,11.186,9.4751,8.0968,6.4234,4.901,4.5871,4.6942,3.9744,13.312,11.171,9.468,8.1497,6.4988,5.0844,4.7469,4.5017,3.9183,13.4,11.189,9.5462,8.2243,6.6433,5.5447,5.0852,4.287,3.8867,13.399,11.202,9.7115,8.2409,6.5628,5.8213,5.2662,4.0224,3.9328,4.485,2.6213,13.205,11.172,9.9312,8.2306,6.4401,5.8258,5.2035,3.8357,4.1681,5.4419,12.981,11.16,10.066,8.2875,6.309,5.7842,5.1759,3.8794,4.5338,5.9433,3.6606,13.065,11.229,10.071,8.3002,6.4928,5.9216,5.3463,4.1522,4.8335,5.9378,3.1667,13.354,11.371,9.8888,8.348,6.9573,6.3397,5.6107,4.5903,5.1365,5.5204,2.3126,13.353,11.275,9.6249,8.3725,7.2863,6.546,5.7548,4.974,5.297,4.8823,0.91364,13.058,11.142,9.5669,8.5053,7.466,6.4456,5.674,5.2588,5.4892,4.4944,12.65,11.122,9.778,8.6497,7.2677,6.1623,5.7381,5.7752,5.8388,4.2717,12.54,11.364,10.139,8.7409,7.2698,6.2518,6.2391,6.5521,6.1271,3.8336,12.452,11.379,10.027,8.6484,7.3913,6.8375,6.9979,7.0682,5.6537,12.251,11.037,9.5389,8.4422,7.8133,7.5549,7.3816,6.5736,11.919,10.734,9.2971,8.4894,8.1965,7.7611,6.8182,4.894,11.714,10.788,9.6543,8.9743,8.2784,6.9595,5.0143,11.496,10.785,10.071,9.4241,7.7513,4.8828,10.203,9.3676,9.2417,9.0667,6.7304
1950,11.703,8.3925,5.8633,4.8465,4.1669,3.8595,3.6523,3.3028,3.0718,2.2551,-3.1581,11.826,8.8613,6.2435,4.9678,4.3865,4.2989,3.8913,3.2359,3.0086,2.5819,0.36022,11.888,9.2765,6.7356,5.1748,4.4118,4.3982,4.2286,3.3929,3.0448,2.4868,0.64895,12.078,9.6808,7.2587,5.4471,4.3828,4.2719,4.3262,3.6805,3.2541,2.8224,1.2342,-0.078428,12.19,9.7821,7.5664,5.8572,4.505,4.1646,4.2748,3.881,3.4852,3.125,1.7866,-2.0068,12.204,9.7684,7.7374,6.2454,4.7768,4.1477,4.2077,3.9464,3.636,3.2147,2.1036,-4.475,-7.5172,12.278,9.8887,7.8617,6.3655,5.0202,4.3267,4.2275,3.9477,3.6436,3.157,2.2709,-4.3655,-7.6943,12.418,10.224,7.963,6.3177,5.1528,4.6184,4.3778,3.9394,3.6532,3.0734,0.21424,-4.6843,-8.0933,12.37,10.344,8.1055,6.3224,5.1941,4.828,4.5339,4.0949,3.7141,2.9258,-0.14775,-6.2681,-8.6123,12.166,10.189,8.249,6.5189,5.3709,4.9839,4.6222,4.276,3.915,2.8436,-3.0577,-7.2218,-9.2303,12.007,10.147,8.5059,6.8806,5.5503,5.0026,4.6383,4.435,4.0266,2.6357,-3.7825,-8.1182,-9.6773,12.045,10.241,8.7703,7.1306,5.7712,5.0241,4.6905,4.406,3.8966,1.3768,-5.0723,-8.7052,-9.9576,12.149,10.478,8.8758,7.152,5.9682,5.2031,4.6575,4.3077,3.7048,-0.87511,-5.3448,-8.6849,-10.037,12.247,10.625,8.7876,7.1108,6.1496,5.4854,4.797,4.3005,3.5336,-1.0002,-5.3693,-9.9346,12.28,10.738,8.8456,7.2328,6.33,5.6443,4.9566,4.4883,3.5973,1.9122,-5.1606,-9.8402,12.294,10.785,8.9742,7.5301,6.4208,5.5203,4.9734,4.7631,3.7606,2.3102,12.379,10.77,9.1408,7.8096,6.4652,5.2434,4.9234,5.0288,4.0037,2.0433,12.453,10.672,9.1027,7.8993,6.3901,5.1231,4.9162,5.1229,4.3194,12.531,10.655,9.0717,7.9684,6.5068,5.3047,5.1401,4.999,4.411,12.645,10.64,9.1404,7.9741,6.5892,5.7693,5.4772,4.8048,4.4515,12.629,10.727,9.3414,8.0946,6.5876,6.0658,5.6823,4.5823,4.539,5.2554,3.7609,12.487,10.778,9.6266,8.1332,6.4463,6.1577,5.6983,4.3779,4.7574,6.2372,12.326,10.773,9.8406,8.1908,6.3778,6.1421,5.7152,4.4416,5.1224,6.7523,4.8785,12.542,10.917,9.9012,8.2553,6.5937,6.3188,5.8754,4.822,5.5466,6.738,4.2654,12.999,11.154,9.784,8.3771,7.1249,6.7937,6.1916,5.2618,5.8557,6.2419,3.1761,13.235,11.273,9.6591,8.5388,7.6044,7.0355,6.3746,5.6356,6.0198,5.5656,1.5919,13.087,11.242,9.7362,8.7449,7.8219,6.9566,6.3187,5.9801,6.1857,5.1809,12.875,11.399,10.059,9.0282,7.7228,6.7229,6.4063,6.5035,6.5667,4.9542,12.868,11.751,10.516,9.2282,7.817,6.8847,6.9286,7.2526,6.7847,4.3982,13.005,11.969,10.609,9.2674,8.022,7.4305,7.6562,7.6799,6.2343,12.879,11.716,10.201,9.0855,8.4805,8.1852,8.0496,7.1711,12.551,11.392,9.9753,9.1811,8.9619,8.4483,7.5118,5.5727,12.375,11.514,10.342,9.743,9.0277,7.7004,5.8399,12.091,11.503,10.742,10.125,8.5244,5.5905,10.883,10.172,10.052,9.8673,7.5664
1951,12.671,9.1513,6.2645,4.8488,3.8998,3.4972,3.2574,2.9349,2.8328,2.3657,-1.1283,12.813,9.6981,6.7165,5.045,4.1335,3.9135,3.4925,2.8737,2.7597,2.5302,0.33876,12.869,10.106,7.2547,5.2413,4.1596,3.993,3.7815,3.0863,2.8174,2.5675,0.73328,12.917,10.441,7.7465,5.5674,4.144,3.8508,3.9067,3.3943,3.0762,2.742,1.1662,-0.097536,12.896,10.422,7.9589,5.9462,4.2997,3.7368,3.8865,3.6426,3.3384,3.0391,1.6879,-1.9448,12.781,10.283,8.0885,6.2719,4.56,3.7597,3.8385,3.6826,3.49,3.2159,2.0939,-5.2392,-14.583,12.789,10.337,8.1038,6.3708,4.7223,3.8987,3.818,3.5945,3.4665,3.1689,2.2811,-5.1484,-14.675,12.836,10.544,8.184,6.2697,4.8566,4.1363,3.9024,3.5641,3.38,2.9796,-0.088863,-5.4513,-12.439,12.711,10.561,8.1661,6.1338,4.813,4.2806,4.0605,3.6404,3.3864,2.7295,-0.72746,-9.5637,-13.035,12.286,10.209,8.1861,6.2885,4.9537,4.3945,4.0981,3.8381,3.5336,2.5695,-3.3644,-10.725,-16.336,11.99,10.025,8.2364,6.4709,5.0549,4.3836,4.06,3.9157,3.6046,2.3803,-3.9795,-11.611,-16.888,11.824,9.9296,8.3188,6.5706,5.1587,4.3629,3.9866,3.7921,3.4094,0.23487,-7.5235,-12.06,-17.293,11.734,9.9488,8.2491,6.5118,5.2799,4.428,3.8697,3.5774,3.1753,-0.9995,-7.6443,-14.492,-17.457,11.679,9.9417,8.0429,6.3774,5.3087,4.6312,3.9213,3.5191,3.0219,-0.97072,-9.3796,-17.301,11.572,9.9583,7.9993,6.3243,5.4092,4.747,4.0248,3.7166,3.105,1.7107,-9.3525,-16.891,11.459,9.8441,8.004,6.5052,5.4459,4.5304,4.0715,4.0092,3.2827,2.0761,11.348,9.6852,8.0259,6.77,5.3954,4.2316,4.0232,4.2981,3.602,1.89,11.257,9.4653,7.8892,6.7528,5.2795,4.0555,4.014,4.4214,3.9761,11.246,9.314,7.7482,6.7176,5.2813,4.2368,4.2336,4.3887,4.0397,11.245,9.2234,7.755,6.6393,5.3236,4.6011,4.5366,4.1137,4.0072,11.167,9.2282,7.9079,6.7019,5.2918,4.9396,4.7182,3.8353,4.0223,4.8782,3.4504,10.926,9.2417,8.1966,6.749,5.2235,5.0393,4.7358,3.6504,4.2454,5.8868,10.754,9.2122,8.4119,6.8748,5.2107,5.0806,4.8149,3.7732,4.7033,6.4679,4.8027,10.982,9.4017,8.4404,6.9357,5.4959,5.3393,5.0749,4.2248,5.1761,6.5648,4.2571,11.464,9.6682,8.3608,7.1358,6.0074,5.8493,5.4694,4.7311,5.5352,6.113,3.1379,11.869,9.9069,8.3506,7.3537,6.5727,6.1438,5.6407,5.0979,5.793,5.4642,1.5311,11.916,10.026,8.5094,7.6584,6.8708,6.1436,5.7204,5.5759,6.0198,5.0708,11.876,10.347,9.027,8.092,6.9275,6.0492,5.9421,6.2609,6.422,4.8762,12.053,10.865,9.6309,8.4166,7.0922,6.3486,6.5951,7.1182,6.7581,4.4262,12.411,11.279,9.9499,8.6091,7.4899,7.1069,7.5438,7.7381,6.3785,12.476,11.292,9.7553,8.6908,8.1085,8.0077,8.118,7.3566,12.437,11.262,9.7799,9.0075,8.8248,8.5204,7.7341,5.7971,12.466,11.649,10.401,9.7848,9.1209,7.8896,6.089,12.441,11.809,11.057,10.397,8.7728,5.878,11.286,10.54,10.383,10.187,7.8241
1952,12.009,8.6653,5.92,4.6752,3.9204,3.6507,3.4845,3.131,2.9132,2.1523,-3.8931,12.242,9.2139,6.374,4.8546,4.1698,4.1029,3.7582,3.1228,2.9481,2.5327,0.3637,12.277,9.6496,6.9246,5.0893,4.243,4.2199,4.0769,3.3571,3.0744,2.5135,0.67303,12.366,9.974,7.4253,5.4807,4.3026,4.1584,4.2911,3.7178,3.3488,2.8857,1.2737,-0.025028,12.465,10.104,7.7775,5.9305,4.4841,4.0902,4.2679,4.0113,3.6626,3.2542,1.8262,-2.0878,12.526,10.125,7.9949,6.3218,4.7758,4.1092,4.2632,4.0837,3.8382,3.3369,2.1407,-6.0006,-14.379,12.674,10.375,8.1721,6.5413,4.9878,4.2365,4.2492,4.0573,3.8464,3.2908,2.3318,-5.8258,-14.234,12.876,10.737,8.3722,6.5174,5.1748,4.5352,4.3251,4.0458,3.846,3.2559,0.088619,-5.9968,-11.751,12.872,10.91,8.5597,6.5554,5.27,4.7356,4.4651,4.1062,3.8959,3.0899,-0.34475,-8.8956,-11.868,12.6,10.716,8.7175,6.8281,5.5295,4.9452,4.5687,4.3563,4.0802,2.9759,-3.6234,-9.5457,-14.638,12.342,10.595,8.9331,7.1814,5.7787,5.0471,4.603,4.5034,4.1565,2.7551,-4.1661,-10.058,-14.944,12.288,10.632,9.1508,7.4223,6.0401,5.1084,4.6407,4.4155,4.0026,1.0085,-6.3337,-10.317,-15.15,12.382,10.758,9.1984,7.4596,6.2378,5.3285,4.607,4.2285,3.7442,-0.98676,-6.7346,-12.725,-15.23,12.498,10.887,9.0923,7.4204,6.3843,5.6033,4.7598,4.1953,3.558,-1.0605,-8.4168,-15.115,12.483,10.925,9.0995,7.4997,6.5313,5.7597,4.9561,4.4064,3.6399,2.0013,-8.3242,-14.934,12.486,10.922,9.1596,7.7107,6.5768,5.5859,4.9519,4.7574,3.8656,2.4712,12.513,10.889,9.2626,7.9585,6.5423,5.26,4.9613,5.0548,4.1428,2.196,12.534,10.726,9.1965,8.0272,6.4693,5.168,4.9849,5.1716,4.4697,12.557,10.613,9.0549,8.001,6.5102,5.3307,5.1488,5.0859,4.5326,12.559,10.518,8.9878,7.9138,6.5327,5.7037,5.4764,4.8664,4.5807,12.504,10.5,9.1795,7.8985,6.4347,5.9729,5.6306,4.5921,4.6572,5.4164,3.8932,12.361,10.496,9.3687,7.9,6.2546,5.9858,5.6078,4.4213,4.9369,6.4599,12.16,10.481,9.5162,7.9223,6.1297,5.9303,5.6047,4.5016,5.3316,7.0344,5.2538,12.301,10.619,9.5185,7.9917,6.3553,6.0901,5.748,4.8445,5.7181,7.0355,4.6159,12.719,10.797,9.3788,8.0921,6.8347,6.5415,6.1063,5.297,6.0582,6.5026,3.4162,12.955,10.897,9.3146,8.2383,7.3547,6.8668,6.2692,5.6628,6.2468,5.8468,1.8284,12.834,10.918,9.4011,8.4893,7.6478,6.8077,6.2271,5.9924,6.4271,5.4065,12.653,11.12,9.7747,8.8086,7.5915,6.6299,6.3719,6.4957,6.6745,5.1482,12.711,11.519,10.32,9.0784,7.7476,6.8949,6.9161,7.2415,6.8697,4.5921,12.913,11.789,10.498,9.1594,8.0044,7.4966,7.7247,7.7167,6.3162,12.761,11.655,10.187,9.0943,8.5162,8.274,8.1799,7.3032,12.475,11.441,10.046,9.3115,9.0349,8.6187,7.7147,5.7548,12.373,11.64,10.528,9.8929,9.2129,7.9157,6.051,12.224,11.655,10.934,10.296,8.6931,5.8293,11.022,10.307,10.189,10.007,7.7135
1953,11.44,8.0629,5.4694,4.4138,3.7548,3.5171,3.4108,3.0943,2.8285,2.1098,0.013751,11.539,8.4426,5.7864,4.5162,3.9569,3.952,3.6479,3.0465,2.8553,2.3552,0.29068,11.537,8.8152,6.258,4.725,3.9781,4.029,3.9464,3.2738,2.9198,2.434,0.5702,11.636,9.154,6.7505,5.001,3.9721,3.91,4.1124,3.557,3.1278,2.7215,1.1543,-3.3442,11.688,9.2285,7.0802,5.4034,4.0904,3.8018,4.0542,3.7484,3.3896,2.9609,1.5871,-6.8007,11.622,9.2043,7.2346,5.8002,4.3812,3.8577,4.0155,3.8256,3.5332,3.1002,1.9468,-6.793,-16.462,11.639,9.2654,7.2981,5.8801,4.6415,3.9983,4.0531,3.8193,3.5404,3.0938,-0.2807,-9.8241,-16.393,11.725,9.5134,7.3903,5.7955,4.76,4.2991,4.1742,3.8037,3.4928,2.8644,-3.7399,-10.47,-13.161,11.605,9.6001,7.4534,5.794,4.7615,4.5046,4.3197,3.9188,3.4926,2.5761,-4.6021,-11.24,-13.293,11.323,9.42,7.5656,5.9716,4.9347,4.6046,4.4168,4.0949,3.6371,0.37013,-5.5039,-11.941,-16.688,11.064,9.2425,7.7794,6.2699,5.1117,4.6392,4.4381,4.2604,3.7461,-0.055198,-6.1234,-12.336,-16.799,11.021,9.3281,7.9414,6.4537,5.2899,4.6406,4.4414,4.255,3.6612,-2.6127,-9.3451,-12.414,-16.941,11.142,9.4995,7.9428,6.4872,5.4301,4.7842,4.3623,4.1023,3.5258,-2.4854,-9.3003,-15.555,-17.056,11.256,9.6191,7.8739,6.334,5.5621,5.0195,4.4794,4.1,3.4147,-0.35384,-11.573,-16.831,11.261,9.7035,7.8861,6.4773,5.759,5.1821,4.6449,4.3021,3.5441,-0.35043,-11.512,-16.273,11.283,9.7446,8.0132,6.7493,5.8423,5.0715,4.6822,4.6058,3.7207,-0.13003,11.356,9.7671,8.171,7.0719,5.8857,4.811,4.6699,4.9294,3.978,-0.15139,11.469,9.6872,8.2518,7.1817,5.8455,4.7105,4.6913,5.0593,4.2663,11.582,9.7108,8.2549,7.3259,5.9851,4.9317,4.912,4.9703,4.4734,11.701,9.7653,8.356,7.378,6.1053,5.3535,5.2172,4.7517,4.5143,11.696,9.8694,8.6259,7.5277,6.1407,5.7449,5.4367,4.4545,4.5588,5.3442,3.8271,11.555,9.9275,9.0193,7.6452,6.1305,5.8899,5.4656,4.2775,4.7725,6.3136,11.418,10.039,9.3128,7.8619,6.1491,5.9133,5.5586,4.367,5.175,6.8039,5.0172,11.586,10.23,9.4107,7.9915,6.4632,6.1915,5.7896,4.8104,5.5991,6.8343,4.4087,12.063,10.489,9.3575,8.1941,7.0484,6.7267,6.1879,5.2845,5.9309,6.3293,3.2487,12.339,10.622,9.3359,8.4133,7.5857,7.0301,6.4067,5.7067,6.1197,5.6978,1.7,12.242,10.64,9.4012,8.7131,7.8889,7.0698,6.4266,6.0727,6.3254,5.2807,12.135,10.921,9.8198,9.05,7.8718,6.9122,6.5942,6.6681,6.701,5.1166,12.295,11.366,10.385,9.2913,8.0073,7.113,7.1743,7.4402,6.9661,4.6404,12.584,11.649,10.537,9.3541,8.2304,7.7552,7.9346,7.8842,6.4379,12.573,11.529,10.268,9.3269,8.763,8.5104,8.2766,7.3679,12.429,11.415,10.132,9.5044,9.2851,8.7666,7.7457,5.7226,12.416,11.692,10.67,10.094,9.4071,7.9731,5.9785,12.272,11.735,11.109,10.51,8.8266,5.8433,11.051,10.351,10.327,10.201,7.92
1954,11.678,8.2911,5.6119,4.4418,3.7925,3.564,3.4169,3.1058,2.9801,2.5406,0.050734,11.818,8.7913,6.0164,4.5549,3.9847,3.9994,3.6378,3.0567,2.9378,2.6693,0.35661,11.802,9.1734,6.5283,4.7693,3.9892,4.0203,3.9286,3.2696,2.9727,2.7017,0.76578,11.892,9.5134,7.0026,5.0921,3.9629,3.9227,4.1276,3.5631,3.196,2.8345,1.2595,-2.3891,11.981,9.5934,7.3247,5.5072,4.0839,3.8115,4.105,3.8182,3.4892,3.1494,1.8304,-4.9712,11.91,9.5387,7.4613,5.9041,4.397,3.8664,4.0273,3.876,3.6426,3.3387,2.1956,-4.9252,-13.758,11.948,9.6387,7.5602,6.0026,4.6337,4.0121,4.0855,3.8442,3.6164,3.2548,2.269,-4.833,-13.672,12.028,9.9013,7.6556,5.9013,4.7143,4.2928,4.1839,3.8049,3.5349,2.9172,-0.91385,-5.1623,-10.367,11.931,9.9772,7.7118,5.8748,4.7765,4.4517,4.3209,3.9038,3.5236,2.7193,-3.0573,-5.7047,-10.914,11.579,9.711,7.7588,6.0184,4.9337,4.6137,4.4238,4.1026,3.6172,2.586,-4.2708,-9.4248,-15.416,11.327,9.5387,7.9614,6.341,5.0928,4.6679,4.4445,4.2334,3.6324,-1.1037,-5.2048,-10.759,-16.156,11.225,9.5758,8.1168,6.538,5.2888,4.6705,4.4236,4.1216,3.4177,-2.7238,-8.8963,-11.566,-16.533,11.254,9.6535,8.1079,6.5044,5.4331,4.7738,4.3318,3.8585,3.2332,-3.0942,-9.459,-11.748,-16.501,11.31,9.7045,7.9487,6.3761,5.554,4.996,4.4696,3.9462,3.2074,-3.296,-9.6675,-16.387,11.271,9.7284,7.9035,6.4355,5.7037,5.1328,4.6109,4.2568,3.3341,-3.4008,-9.8288,-16.3,11.243,9.6918,8.0031,6.6923,5.753,5.0178,4.6293,4.5065,3.4306,-3.2721,11.261,9.6738,8.1081,7.0008,5.8029,4.7592,4.6041,4.7255,3.4909,-3.1587,11.349,9.5732,8.124,7.0771,5.7623,4.6626,4.6156,4.8682,3.5822,11.404,9.5375,8.0769,7.146,5.8439,4.8614,4.8555,4.7958,4.0216,11.506,9.5531,8.1478,7.1426,5.9235,5.274,5.1785,4.6795,4.3922,11.528,9.6708,8.4108,7.283,5.9429,5.6177,5.3785,4.4233,4.5644,5.4152,3.8932,11.402,9.7177,8.8239,7.3828,5.8764,5.7178,5.3947,4.2798,4.8831,6.4488,11.228,9.8022,9.077,7.5478,5.8824,5.7185,5.4366,4.3807,5.299,6.9829,5.1768,11.446,9.9853,9.0916,7.6456,6.1271,5.9351,5.7116,4.8172,5.6928,6.9688,4.5072,11.874,10.237,9.0276,7.7982,6.678,6.4521,6.0517,5.2713,5.957,6.3921,3.3112,12.198,10.328,8.9569,8.0032,7.2162,6.7564,6.2128,5.6469,6.1171,5.7047,1.7128,12.159,10.43,9.0328,8.2917,7.4967,6.7864,6.251,6.0108,6.3347,5.2553,12.098,10.709,9.5034,8.6753,7.514,6.6691,6.4906,6.5953,6.6522,4.997,12.321,11.227,10.112,8.9742,7.6915,6.9068,7.0313,7.3893,6.8656,4.4548,12.66,11.641,10.399,9.0945,7.9941,7.5715,7.8329,7.8413,6.3434,12.694,11.61,10.196,9.1552,8.5528,8.334,8.2589,7.3701,12.571,11.51,10.165,9.4153,9.1275,8.6778,7.7939,5.7795,12.56,11.842,10.766,10.055,9.3542,7.9654,6.1088,12.429,11.898,11.233,10.559,8.8534,5.8486,11.212,10.5,10.41,10.247,7.9696
